Palabra,Descripción
Adiós,La mano se desplaza desde un costado de la frente hacia delante. La cabeza se reclina ligeramente y la boca se abre.
Ambos,La mano se despliza hacia abajo por el espacio que deja la mano contraria. Los labios están cerrados hacia fuera.
Ambas,La mano se despliza hacia abajo por el espacio que deja la mano contraria. Los labios están cerrados hacia fuera.
Arreglar,Las manos se tocan y giran alternadamente. Se ven los dientes.
Arriba,La mano sube.
Asociación,"Las manos se acercan dos veces, una contiene a la otra."
Ayudar,Las manos juntas se desplazan en curva hacia delante. Los labios están en forma de beso abierto.
Ayuda,Las manos juntas se desplazan en curva hacia delante. Los labios están en forma de beso abierto.
Baño,La mano toca dos veces el antebrazo contario.
Buenas Noches,"La mano en la frente se desplaza hacia abajo, las manos abiertas desde la altura de los hombros se desplazan hacia el centro mientras simultáneamente se cierran."
Buenas Tardes,La mano cerrada en la frente se desplaza en curva hacia abajo mientras se abre simultáneamente y se asienta sobre la muñeca de la mano contraria.
Buenos Días,La mano desde la frente se desplaza hacia abajo y después hacia arriba mientras se abre simultáneamente.
Bus,Las manos se separan simultáneamente. La boca está abierta con los labios hacia fuera.
Carné,La mano se mueve levemente hacia delante dos veces.
Credencial,La mano se mueve levemente hacia delante dos veces.
Identificación,La mano se mueve levemente hacia delante dos veces.
Cédula,El pulgar toca la palma contraria y gira dos veces.
Cerca,Las manos se tocan dos veces.
Colegio,La mano de arriba golpea la palma de la mano contraria y sube en espiral.
Comerciar,Las manos se deslizan alternadamente de adelante hacia atrás.
Compartir,Las manos se deslizan alternadamente de adelante hacia atrás.
Compañero,"Los dedos pulgar e índice de ambas manos se entrelazan, luego realizan un círculo. La boca esta en forma de beso abierto."
Compañera,"Los dedos pulgar e índice de ambas manos se entrelazan, luego realizan un círculo. La boca esta en forma de beso abierto."
Colega,"Los dedos pulgar e índice de ambas manos se entrelazan, luego realizan un círculo. La boca esta en forma de beso abierto."
Comunicarse,Las manos se mueven alternadamente hacia delante y hacia atrás. La boca está cerrada con los labios hacia fuera.
Comunicación,Las manos se mueven alternadamente hacia delante y hacia atrás. La boca está cerrada con los labios hacia fuera.
Conocer,Las manos se tocan dos veces.
Contabilidad,Las manos se desplazan de atrás hacia delante alternadamente.
Cuidado,Las manos juntas forman círculos pequeños. La boca está en forma de beso abierto.
Cuota,La mano toca la palma de la mano contraria y se desliza hacia delante.
CONADIS,La mano toca la palma de la mano contraria y se desliza hacia delante.
Chao,La mano se mueve hacia fuera y hacia adentro repetidamente.
Deberes,La mano toca la frente dos veces.
Decir,El dedo índice se desplaza desde la boca hacia delante.
Departamento,Las manos giran hacia delante.
Deuda,"La mano toca la frente, luego se mueve levemente hacia delante dos veces."
Doler,El dedo medio se separa del pulgar dos veces mientras la mano se mueve enérgicamente hacia adelante. Se muestran los dientes.
